Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1523941200,2018-04-17 05-AM,BTCUSD,8015.72,8016.83,7971.32,7971.32,19.14,153121.33
1523937600,2018-04-17 04-AM,BTCUSD,8026.82,8027,7993,8015.72,31.64,253465.22
1523934000,2018-04-17 03-AM,BTCUSD,8029.97,8040,8008.65,8026.82,60.84,488053.86
1523930400,2018-04-17 02-AM,BTCUSD,8033.13,8038.5,7975.82,8029.97,145.81,1167163.43
1523926800,2018-04-17 01-AM,BTCUSD,8039.25,8065,8023.45,8033.13,50.3,404695.23
1523923200,2018-04-17 12-AM,BTCUSD,8049.75,8058.89,8014.1,8039.25,35.27,283431.67
1523919600,2018-04-16 11-PM,BTCUSD,8010.17,8082.39,8010.17,8049.75,113.74,915643.8
1523916000,2018-04-16 10-PM,BTCUSD,8015,8022.41,7976.02,8010.17,17.89,143250.17
1523912400,2018-04-16 09-PM,BTCUSD,7990.34,8019.21,7988.19,8015,50.9,407360.73
1523908800,2018-04-16 08-PM,BTCUSD,7982.97,7995,7948.81,7990.34,39.17,312538.2
1523905200,2018-04-16 07-PM,BTCUSD,8015.91,8039.13,7972.58,7982.97,38.81,311110.69
1523901600,2018-04-16 06-PM,BTCUSD,8022.94,8027.79,8009.36,8015.91,79.66,638823.42
1523898000,2018-04-16 05-PM,BTCUSD,7972.82,8044.77,7968.99,8022.94,153.68,1231534.31
1523894400,2018-04-16 04-PM,BTCUSD,7975.4,7975.4,7944.16,7972.82,91.13,725380.37
1523890800,2018-04-16 03-PM,BTCUSD,7983.89,7990.44,7966.64,7975.4,64.12,511796.22
1523887200,2018-04-16 02-PM,BTCUSD,7965.02,8000.74,7936.6,7983.89,49.56,395029.2
1523883600,2018-04-16 01-PM,BTCUSD,7951.48,7968.28,7910.94,7965.02,60.8,482910.25
1523880000,2018-04-16 12-PM,BTCUSD,8092.47,8092.47,7925.42,7951.48,168.14,1342961.49
1523876400,2018-04-16 11-AM,BTCUSD,8076.01,8101.01,8030,8092.47,74.62,602567.14
1523872800,2018-04-16 10-AM,BTCUSD,8094.9,8123.2,8056.92,8076.01,89.39,723767.44
1523869200,2018-04-16 09-AM,BTCUSD,8128.17,8130.19,8039.77,8094.9,118.36,956688.09
1523865600,2018-04-16 08-AM,BTCUSD,8113.67,8135.52,8089.68,8128.17,18.35,148748.09
1523862000,2018-04-16 07-AM,BTCUSD,8089.76,8120.16,8068.39,8113.67,71.09,575434.43
1523858400,2018-04-16 06-AM,BTCUSD,8074.13,8094.38,8026.04,8089.76,109.32,880909.43
1523854800,2018-04-16 05-AM,BTCUSD,8146.36,8146.36,7994.29,8074.13,246.16,1980307.39
1523851200,2018-04-16 04-AM,BTCUSD,8167.8,8167.8,8138.81,8146.36,25.79,210240.6
1523847600,2018-04-16 03-AM,BTCUSD,8139,8180.73,8132,8167.8,119.89,978155.75
1523844000,2018-04-16 02-AM,BTCUSD,8348.42,8350.51,8100,8139,374.12,3054943.81
1523840400,2018-04-16 01-AM,BTCUSD,8393.98,8414.3,8343.6,8348.42,92.6,775828.09
1523836800,2018-04-16 12-AM,BTCUSD,8360.95,8407.37,8337.61,8393.98,108.36,908537.82
1523833200,2018-04-15 11-PM,BTCUSD,8347.26,8364,8314.35,8360.95,54.86,457137.64
1523829600,2018-04-15 10-PM,BTCUSD,8304.05,8354.16,8304.05,8347.26,32.49,270650.72
1523826000,2018-04-15 09-PM,BTCUSD,8280.68,8304.05,8280.68,8304.05,7.59,62988.55
1523822400,2018-04-15 08-PM,BTCUSD,8307.84,8314.92,8277.53,8280.68,20.82,172759.96
