unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638763200,2021-12-06 04:00:00,BTC/USDT,49044.17593855,49249.84773305,49007.22608404,49171.52038858,135399.36936557,2.75827833
1638761400,2021-12-06 03:30:00,BTC/USDT,48976.99769859,49199.62949087,48902.57615571,49053.04539147,182562.71616682,3.7144632
1638759600,2021-12-06 03:00:00,BTC/USDT,48893.5,49164.2948691,48844.62331994,49044.00833758,75345.99604953,1.53756003
1638757800,2021-12-06 02:30:00,BTC/USDT,48862.2771302,49071.6446,48755,48858.70911213,274970.69309785,5.63227383
1638756000,2021-12-06 02:00:00,BTC/USDT,48804.14444272,49132.3522039,48757.43835541,48886.70907259,243138.00436334,4.96590348
1638754200,2021-12-06 01:30:00,BTC/USDT,48469.38775511,48872.3,48302.26870394,48784.19618529,544128.14785328,11.21791011
1638752400,2021-12-06 01:00:00,BTC/USDT,48741.20851593,48996.9207,48471,48486.73703959,223136.17761154,4.58552402
1638750600,2021-12-06 00:30:00,BTC/USDT,48681.4142404,48800.53506184,48434.53713584,48755.67457306,452551.96644847,9.30451313
1638748800,2021-12-06 00:00:00,BTC/USDT,49398.92633232,49450.61916588,48624.00059425,48680.186976,335711.98313931,6.85723174
1638747000,2021-12-05 23:30:00,BTC/USDT,49211.79722606,49398.92633232,49040.45215023,49383.5960794,46811.30081434,0.95092446
1638745200,2021-12-05 23:00:00,BTC/USDT,49239.03064467,49506.88692588,49057.96253225,49210.5312014,499702.37014835,10.13985814
1638743400,2021-12-05 22:30:00,BTC/USDT,49189.35242346,49239.03064467,48802.418,49232.98349339,195700.56096273,3.98940324
1638741600,2021-12-05 22:00:00,BTC/USDT,49170.21604253,49209.87678302,48860.29422282,49191,348047.14276009,7.09627195
1638739800,2021-12-05 21:30:00,BTC/USDT,48884.33729246,49209.87678302,48798.43260414,49148.17187173,69811.0871931,1.42392161
1638738000,2021-12-05 21:00:00,BTC/USDT,48814.47334511,48939.46320263,48507.39632586,48906.33228941,267201.2233691,5.4873134
1638736200,2021-12-05 20:30:00,BTC/USDT,48541.85522836,48957.54485456,48541.85522836,48834,344129.47714928,7.04401155
1638734400,2021-12-05 20:00:00,BTC/USDT,48920.58495603,49032.08920343,48541.85522836,48541.85522836,327836.13877103,6.70368001
1638732600,2021-12-05 19:30:00,BTC/USDT,48603.55355473,48935.019409,48339.6551125,48899.01044201,492430.10812698,10.10784699
1638730800,2021-12-05 19:00:00,BTC/USDT,49093.03610754,49128.16929992,48302.94470375,48595.35820463,464948.20943766,9.56995077
1638729000,2021-12-05 18:30:00,BTC/USDT,49136.4696297,49328.4693023,49052,49093.03610754,196084.89261407,3.98670669
1638727200,2021-12-05 18:00:00,BTC/USDT,49275.36088579,49328.4693023,49052.00000001,49133.10751296,605887.64885593,12.31554741
1638725400,2021-12-05 17:30:00,BTC/USDT,49039.09523589,49300,49035.82047787,49245.9301132,802982.06175129,16.33236552
1638723600,2021-12-05 17:00:00,BTC/USDT,48486.64698383,49053.59452896,48388.04726038,48993.12551862,525418.21800974,10.7900854
1638721800,2021-12-05 16:30:00,BTC/USDT,48313.78385903,48678.49240154,48118.28390156,48476.00501821,201562.7859834,4.16461671
1638720000,2021-12-05 16:00:00,BTC/USDT,47928.19001996,48709.69846076,47913.50287348,48306.79790066,1240667.05663853,25.62157136
